shop,title,price,old_price,discount,date_start,date_end,additional_info,img
rimi,"Atšaldyta atlantinių lašišų filė, 1 kg",13.99,23.99,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_807538_KGM_LT"
rimi,"Gr. nat. jogurtas GRAIKIŠKA AMFORA, 3,9%,200g",1.27,1.59,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_927780_PCE_LT"
rimi,"Šaldytos braškės RIMI, 400 g",1.29,1.89,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811670_PCE_LT"
rimi,"Š. rūk. pjaustyta lašišos filė ZIGMAS, 100 g",2.99,3.99,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_248904_PCE_LT"
rimi,"VILKYŠKIŲ kefyras, 2,5 % rieb., 1 kg",1.49,1.89,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_297351_PCE_LT"
rimi,"Viso grūdo skrudinimo duona TOSTE, 500g",2.04,2.55,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_928472_PCE_LT"
rimi,"Virtas kumpis SELECTION BY RIMI, 70 g",2.20,2.75,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_803265_PCE_LT"
rimi,"Kosmetinės servetėlės ​​ZEWA DELUXE, 90 vnt",1.39,2.79,-50%,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_401780_PCE_LT"
rimi,"BEATOS juoda duona su sėklomis, 300 g",1.59,1.99,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_905029_PCE_LT"
rimi,"Vatos pagaliukai ALMEDA, 200 vnt.",0.75,0.89,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_812267_PCE_LT"
