shop,title,price,old_price,discount,date_start,date_end,additional_info,img
iki,UTENOS MĖSOS karštai rūkytoms dešroms ir dešrelėms,,,-30%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-150.jpg
iki,Virtiems ir keptiems kumpeliams bei kepsneliams VILNIAUS PAUKŠTYNAS,,,-20%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-151.jpg
iki,Vytinta dešra FUET IMPERIAL,3.69,,1+1,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-153.jpg
iki,Šaltai rūkytiems KREKENAVOS gaminiams,,,-30%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-154.jpg
iki,Karštai rūkytos MEDŽIOTOJŲ dešrelės KAI NORISI MĖSOS,3.99,,1+1,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-155.jpg
iki,Karštai rūkyta KREKENAVOS PANEVĖŽIO filė,6.49,12.99,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-156.jpg
iki,Dešrelės TARCZYNSKI KABANOS,2.99,,1+1,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-157.jpg
iki,Virtos sardelės EKSTRA,1.99,4.19,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-158.jpg
iki,Majonezas HELLMANN’S,2.49,3.99,-37%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-159.jpg
iki,Pienas ROKIŠKIO NAMINIS,1.19,1.49,-20%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-160.jpg
iki,Kefyras DVARO,1.39,1.85,-24%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-161.jpg
iki,Grietinėlei DVARO,,,-20%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-162.jpg
iki,Grietinei DVARO,,,-20%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-163.jpg
iki,Varškei DVARO,,,-20%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-164.jpg
iki,GRŪDĖTA varškė,1.29,1.69,-23%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-165.jpg
iki,Varškės sūrelis iš A2 pieno,0.79,0.99,-20%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-166.jpg
iki,Varškei kruopelėmis ir pudingams ALMA,,,-20%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-167.jpg
iki,Plombyro skonio ŽEMAITIJOS DESERTINĖ varškė,1.39,1.79,-22%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-168.jpg
iki,Ryžių košė RYTAS,1.29,1.69,-23%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-169.jpg
iki,Biskvitas MAGIJA LILA VANILA su pieniniu kremu ir kakavos glaistu,0.59,0.79,-25%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-170.jpg
iki,Glaistytas varškės sūrelis NYKŠTUKAS,0.49,0.69,-28%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-171.jpg
iki,Batonėlis KINDER MAXI KING,0.79,1.05,-24%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-172.jpg
iki,IKI sūriams,,,-30%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-173.jpg
iki,Sūriams ROKIŠKIO GRAND,,,-20%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-174.jpg
iki,Sūrio lazdelėms PIK-NIK,,,-20%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-175.jpg
iki,GALBANI sūriams RICOTTA ir MASCARPONE,,,-20%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-176.jpg
iki,Sūriams MEMEL BLUE,,,-20%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-177.jpg
iki,Kastinys su česnakais DVARO,1.89,2.45,-22%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-178.jpg
iki,Tepusis riebalų mišinys su trumais LABAN,1.79,2.29,-21%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-179.jpg
iki,Sviesto skonio margarinas EVESOL,1.79,2.29,-21%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-180.jpg
iki,Jogurtas iš A2 pieno be laktozės,1.29,1.59,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-181.jpg
iki,Jogurtas JO,2.19,2.79,-21%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-182.jpg
iki,Augaliniams desertams ir tofu batonėliams DEARY,,,-20%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-183.jpg
iki,Saldintas sutirštintas pienas ROKIŠKIO,2.19,2.69,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-184.jpg
iki,Ant kraiko laikomų vištų kiaušiniai,2.29,2.49,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-185.jpg
